J,I,n,J,X,b,r,E,d,,,
J,I,n,J,X,b,r,E,d,,,
0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
v,c,l,k,e,n,o,,,,,
b,c,l,k,e,n,o,,,,,
0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
h,a,r,m,a,n,I,k,x,,,
h,a,r,m,x,n,x,k,x,,,
0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,t,E,T,x,s,k,o,p,,,
s,t,E,T,x,s,k,o,p,,,
0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,p,x,g,E,F,i,,,,,
s,k,r,x,v,s,k,E,F,i,,
0,0,0,0,0,0,0,10,0,0,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
k,a,n,s,t,x,t,u,S,x,n,
p,a,r,S,y,u,y,@,t,s,,
0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,
,,,,,,,,,,,
p,i,p,,,,,,,,,
p,i,p,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
k,I,k,,,,,,,,,
k,I,t,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s,I,s,,,,,,,,,
s,I,s,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,u,z,,,,,,,,,
z,u,z,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
C,R,C,,,,,,,,,
C,R,C,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
l,^,l,,,,,,,,,
l,^,l,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r,c,r,,,,,,,,,
r,c,r,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
S,^,S,,,,,,,,,
S,^,s,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T,I,k,,,,,,,,,
s,I, k,s,,,,,,,,
0,0,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,@,b,X,,,,,,,,
J,@,b,X,,,,,,,,
0,0,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
J,@,b,X,I,G,,,,,,
J,@,b,X,I, G,,,,,,
0,0,0,0,0,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,I,p,,,,,,,,,
z,I,p,,,,,,,,,
0,0,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
z,I,p,X,,,,,,,,
s,I,p,X,,,,,,,,
0,0,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,l,@,t,,,,,,,,
f,l,@,t,,,,,,,,
0,0,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
f,l,@,F,X,,,,,,,
f,l,@,t,X,,,,,,,
0,0,0,1,0,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
T,I,k,X,,,,,,,,
I,s,k,I,k,X,,,,,,
0,0,0,0,0,0,,,,,,